Designator Footprint          Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment   

FID3       FIDUCIAL         2470mil       8050mil       2470mil       8050mil       2470mil       8050mil  T         90.00 FIDUCIAL  
R13.2      0603             3160mil       7150mil       3160mil       7150mil       3160mil   7116.535mil  T         90.00 RESISTOR  
R13.3      0603             3160mil       6660mil       3160mil       6660mil       3160mil   6626.535mil  T         90.00 RESISTOR  
R13.4      0603             3160mil       6170mil       3160mil       6170mil       3160mil   6136.535mil  T         90.00 RESISTOR  
R13.5      0603             3140mil       5680mil       3140mil       5680mil       3140mil   5646.535mil  T         90.00 RESISTOR  
R13.6      0603             3140mil       5150mil       3140mil       5150mil       3140mil   5116.535mil  T         90.00 RESISTOR  
R13.7      0603             3160mil       4660mil       3160mil       4660mil       3160mil   4626.535mil  T         90.00 RESISTOR  
R13.8      0603             3160mil       4170mil       3160mil       4170mil       3160mil   4136.535mil  T         90.00 RESISTOR  
R13.9      0603             3160mil       3680mil       3160mil       3680mil       3160mil   3646.535mil  T         90.00 RESISTOR  
R13.10     0603             3160mil       3190mil       3160mil       3190mil       3160mil   3156.535mil  T         90.00 RESISTOR  
R14.1      0603             4360mil       7660mil       4360mil       7660mil   4393.465mil       7660mil  T        180.00 RESISTOR  
R14.2      0603             4360mil       7170mil       4360mil       7170mil   4393.465mil       7170mil  T        180.00 RESISTOR  
R14.3      0603             4360mil       6680mil       4360mil       6680mil   4393.465mil       6680mil  T        180.00 RESISTOR  
R14.4      0603             4360mil       6190mil       4360mil       6190mil   4393.465mil       6190mil  T        180.00 RESISTOR  
R14.5      0603             4360mil       5700mil       4360mil       5700mil   4393.465mil       5700mil  T        180.00 RESISTOR  
R14.6      0603             4360mil       5170mil       4360mil       5170mil   4393.465mil       5170mil  T        180.00 RESISTOR  
R14.7      0603             4360mil       4680mil       4360mil       4680mil   4393.465mil       4680mil  T        180.00 RESISTOR  
R14.8      0603             4360mil       4190mil       4360mil       4190mil   4393.465mil       4190mil  T        180.00 RESISTOR  
R14.9      0603             4360mil       3700mil       4360mil       3700mil   4393.465mil       3700mil  T        180.00 RESISTOR  
R14.10     0603             4360mil       3210mil       4360mil       3210mil   4393.465mil       3210mil  T        180.00 RESISTOR  
R15.1      0603             4200mil       7880mil       4200mil       7880mil   4233.465mil       7880mil  T        180.00 RESISTOR  
R15.2      0603             4200mil       7390mil       4200mil       7390mil   4233.465mil       7390mil  T        180.00 RESISTOR  
R15.3      0603             4200mil       6900mil       4200mil       6900mil   4233.465mil       6900mil  T        180.00 RESISTOR  
R15.4      0603             4200mil       6410mil       4200mil       6410mil   4233.465mil       6410mil  T        180.00 RESISTOR  
R15.5      0603             4200mil       5920mil       4200mil       5920mil   4233.465mil       5920mil  T        180.00 RESISTOR  
R15.6      0603             4200mil       5390mil       4200mil       5390mil   4233.465mil       5390mil  T        180.00 RESISTOR  
R15.7      0603             4200mil       4900mil       4200mil       4900mil   4233.465mil       4900mil  T        180.00 RESISTOR  
R15.8      0603             4200mil       4410mil       4200mil       4410mil   4233.465mil       4410mil  T        180.00 RESISTOR  
R15.9      0603             4200mil       3920mil       4200mil       3920mil   4233.465mil       3920mil  T        180.00 RESISTOR  
R15.10     0603             4200mil       3430mil       4200mil       3430mil   4233.465mil       3430mil  T        180.00 RESISTOR  
R16.1      0603             4060mil       7620mil       4060mil       7620mil       4060mil   7653.465mil  T        270.00 RESISTOR  
R16.2      0603             4060mil       7070mil       4060mil       7070mil   4026.535mil       7070mil  T        360.00 RESISTOR  
R16.3      0603             4060mil       6640mil       4060mil       6640mil       4060mil   6673.465mil  T        270.00 RESISTOR  
R16.4      0603             4050mil       6090mil       4050mil       6090mil   4016.535mil       6090mil  T        360.00 RESISTOR  
R16.5      0603             4060mil       5670mil       4060mil       5670mil       4060mil   5636.535mil  T         90.00 RESISTOR  
R16.6      0603             4050mil       5140mil       4050mil       5140mil       4050mil   5106.535mil  T         90.00 RESISTOR  
R16.7      0603             4080mil       4640mil       4080mil       4640mil       4080mil   4673.465mil  T        270.00 RESISTOR  
R16.8      0603             4050mil       4080mil       4050mil       4080mil   4016.535mil       4080mil  T        360.00 RESISTOR  
R16.9      0603             4060mil       3660mil       4060mil       3660mil       4060mil   3693.465mil  T        270.00 RESISTOR  
R16.10     0603             4060mil       3170mil       4060mil       3170mil       4060mil   3203.465mil  T        270.00 RESISTOR  
R17.1      0603             4220mil       7660mil       4220mil       7660mil   4186.535mil       7660mil  T        360.00 RESISTOR  
